,app_number,patent_number,blocked_app,date,blocking_type
3640,"09/709,716",7623447,12805201,2011-05-17,103a
3641,"09/709,716",7623447,11795607,2011-01-20,103a
3642,"09/709,716",7623447,11497703,2011-03-29,103a
3643,"09/709,716",7623447,13231476,2012-06-26,102e
3644,"09/067,779",6151572,12497442,2011-08-19,102b
3645,"08/794,312",6331972,12699846,2011-08-09,112
3646,"11/042,890",7091911,12169684,2011-05-04,103a
3647,"11/042,890",7091911,12169684,2011-10-27,103a
3648,"11/042,890",7091911,12169684,2012-06-14,103a
3649,"08/769,563",5920549,12018983,2011-04-26,102b
3650,"08/877,142",6011510,12075177,2011-03-02,103a
3651,"08/877,142",6011510,12075177,2011-09-30,103a
3652,"08/877,142",6011510,13544908,2012-08-27,103a
3653,"08/877,142",6011510,13100523,2012-03-13,103a
3654,"08/877,142",6011510,13544908,2013-03-28,103a
3655,"09/096,664",6272333,11648428,2011-02-03,103a
3656,"09/096,664",6272333,11479456,2012-10-15,103a
3657,"09/096,664",6272333,11479456,2012-05-25,103a
3658,"09/096,664",6272333,12702728,2012-07-26,102b
3659,"11/558,207",7839931,12171130,2011-11-09,103a
3660,"11/558,207",7839931,12951732,2012-04-03,119
3661,"11/558,207",7839931,12951732,2012-04-03,119
3662,"11/558,207",7839931,12951732,2013-02-26,119a
3663,"11/558,207",7839931,12951732,2013-02-26,119a
3664,"10/806,644",7132745,12502712,2012-03-14,103a
3665,"10/806,644",7132745,12502712,2012-07-05,103a
3666,"10/806,644",7132745,12502712,2012-10-25,103a
3667,"11/027,888",7660353,12951732,2012-04-03,119
3668,"11/027,888",7660353,12951732,2013-02-26,119a
3669,"09/022,828",6151497,12492522,2012-01-23,103a
3670,"11/442,263",7248842,12725185,2011-10-20,119
3671,"11/442,263",7248842,12725185,2011-10-20,102e
3672,"11/442,263",7248842,12725185,2011-05-10,102e
3673,"11/442,263",7248842,12725185,2012-08-31,102e
3674,"11/442,263",7248842,12725185,2012-12-31,102e
3675,"10/670,577",7742788,12986339,2012-11-01,103a
3676,"09/041,898",6009091,12500178,2012-02-02,103a
3677,"09/041,898",6009091,13411479,2012-12-07,119a
3678,"09/041,898",6009091,12500178,2012-05-11,103a
3679,"11/436,242",7471942,12187912,2011-12-23,102e
3680,"11/436,242",7471942,12187912,2011-12-23,103a
3681,"11/436,242",7471942,12187912,2011-12-23,103a
3682,"11/436,242",7471942,12187912,2011-12-23,103a
3683,"11/436,242",7471942,12187912,2011-12-23,103a
3684,"11/436,242",7471942,12211897,2011-10-17,103
3685,"08/627,719",5781530,12727704,2011-03-21,103
3686,"11/337,753",8145251,13418379,2012-05-10,119
3687,"11/337,753",8145251,13418379,2012-05-10,119
3688,"11/337,753",8145251,13418379,2012-05-10,119
3689,"11/337,753",8145251,13418375,2012-05-11,119
3690,"11/337,753",8145251,13418375,2012-05-11,119
3691,"11/337,753",8145251,13418375,2012-05-11,119
3692,"11/280,990",7499700,13255028,2013-01-04,102a
3693,"11/280,990",7499700,13255028,2013-01-04,103a
3694,"11/025,518",7810105,13289736,2013-05-30,103a
3695,"09/359,169",6671882,11324158,2012-04-25,103a
3696,"09/359,169",6671882,11324158,2013-01-07,103a
3697,"09/359,169",6671882,11324158,2013-12-03,103a
3698,"11/165,316",7456793,13452253,2012-07-23,103a
3699,"11/165,316",7456793,13452253,2012-11-23,103a
3700,"08/843,905",5815804,12123730,2011-10-05,103a
3701,"08/843,905",5815804,11101830,2011-10-14,103a
3702,"08/843,905",5815804,12123730,2011-02-04,103a
3703,"08/843,905",5815804,12123595,2011-01-28,102b
3704,"08/843,905",5815804,12123730,2011-06-02,103a
3705,"11/003,040",7825901,12705736,2012-02-03,103a
3706,"11/003,040",7825901,12705736,2012-02-03,103a
3707,"09/191,929",6483851,12173747,2011-03-18,103a
3708,"10/751,080",7436811,11898562,2011-03-15,103a
3709,"10/751,080",7436811,12826661,2012-07-13,102e
3710,"10/195,258",6978136,11397841,2011-12-15,103a
3711,"10/195,258",6978136,12019148,2011-10-21,103a
3712,"09/513,043",7042855,12925070,2012-10-02,102e
3713,"09/513,043",7042855,12925070,2013-02-04,102e
3714,"10/141,715",6765536,11950835,2011-01-04,102e
3715,"10/141,715",6765536,12603354,2012-02-03,103
3716,"10/141,715",6765536,12603354,2012-09-20,103a
3717,"10/899,859",7526001,11856930,2011-07-08,103a
3718,"11/004,359",7143333,11795826,2011-07-20,103a
3719,"11/004,359",7143333,11795826,2011-04-04,103a
3720,"09/995,231",6885874,11594577,2011-06-16,103a
3721,"09/995,231",6885874,11750312,2011-03-30,103a
3722,"09/995,231",6885874,11841734,2011-12-23,103a
3723,"09/995,231",6885874,11841734,2011-04-15,103a
3724,"09/995,231",6885874,11594577,2011-11-21,103a
3725,"09/995,231",6885874,11750312,2011-12-09,103a
3726,"09/995,231",6885874,13149321,2012-11-13,103a
3727,"09/995,231",6885874,11485161,2013-07-03,103a
3728,"09/995,231",6885874,11834674,2013-09-10,103a
3729,"09/995,231",6885874,11834674,2013-09-10,103a
3730,"09/995,231",6885874,11834674,2013-09-10,103a
3731,"09/995,231",6885874,11834674,2013-09-10,103a
3732,"09/995,231",6885874,11841734,2013-07-18,103a
3733,"09/995,231",6885874,13149321,2013-04-16,103a
3734,"09/995,231",6885874,11841734,2014-04-22,103a
3735,"08/643,430",5715282,12028168,2011-05-10,103a
3736,"10/701,095",7149523,12704794,2011-11-14,103
3737,"11/209,308",7656842,12390535,2012-02-06,102e
3738,"11/209,308",7656842,12390535,2012-02-06,103a
3739,"11/209,308",7656842,12895665,2013-03-12,102b
3740,"09/032,585",5939939,12042362,2012-09-12,103a
3741,"09/032,585",5939939,12042362,2012-09-12,103a
3742,"09/032,585",5939939,12042362,2012-06-06,103a
3743,"09/032,585",5939939,12042362,2012-06-06,103a
3744,"09/032,585",5939939,13222014,2013-10-09,102b
3745,"09/032,585",5939939,12042362,2013-03-01,103a
3746,"09/032,585",5939939,12042362,2013-03-01,103a
3747,"09/097,337",6512776,12832327,2012-10-23,103a
3748,"11/142,058",7110766,13015799,2012-10-16,102b
3749,"09/773,863",7148917,11967363,2011-10-14,103a
3750,"09/773,863",7148917,12682069,2012-03-26,103a
3751,"09/531,402",6184651,10353540,2011-04-08,103a
3752,"09/531,402",6184651,12190528,2011-11-10,103c
3753,"09/531,402",6184651,12190528,2011-02-16,103a
3754,"09/531,402",6184651,12464310,2011-10-05,103a
3755,"10/728,336",7048556,12829481,2012-04-26,102
3756,"10/728,336",7048556,12821024,2012-03-16,103a
3757,"09/418,621",6138011,10564903,2011-01-13,103a
3758,"09/418,621",6138011,10564903,2011-01-13,103a
3759,"09/418,621",6138011,10564903,2011-01-13,103a
3760,"09/418,621",6138011,10564903,2011-01-13,103a
3761,"09/418,621",6138011,10564903,2011-01-13,103a
3762,"09/418,621",6138011,10564903,2011-01-13,103a
3763,"09/418,621",6138011,10564903,2011-09-20,103a
3764,"09/418,621",6138011,10564903,2011-09-20,103a
3765,"09/418,621",6138011,10564903,2011-09-20,103a
3766,"09/418,621",6138011,10564903,2011-09-20,103a
3767,"09/418,621",6138011,10564903,2011-09-20,103a
3768,"09/418,621",6138011,10564903,2011-09-20,103a
3769,"09/241,190",6214487,11869065,2011-12-07,103a
3770,"09/241,190",6214487,11869065,2011-12-07,103a
3771,"09/241,190",6214487,11869065,2011-06-21,103a
3772,"09/241,190",6214487,11884070,2011-03-04,103a
3773,"09/241,190",6214487,12688671,2012-09-28,103a
3774,"09/241,190",6214487,12688671,2013-04-26,102
3775,"08/835,044",6131049,13014239,2011-09-19,103a
3776,"08/835,044",6131049,13014239,2011-03-28,103a
3777,"08/589,177",5781583,13036677,2012-11-19,102e
3778,"09/660,612",6792293,11975948,2011-07-20,103a
3779,"09/660,612",6792293,11723155,2011-07-18,103a
3780,"09/660,612",6792293,12183205,2011-06-29,103a
3781,"09/660,612",6792293,11723155,2012-09-12,103
3782,"09/660,612",6792293,11723155,2012-04-04,103a
3783,"09/005,998",5982327,13033035,2011-07-21,103
3784,"09/005,998",5982327,13033035,2011-07-21,103
3785,"09/005,998",5982327,12130821,2011-02-22,103a
3786,"09/005,998",5982327,12130821,2011-02-22,103a
3787,"09/005,998",5982327,11662516,2012-06-26,102b
3788,"09/005,998",5982327,11662516,2013-01-15,102b
3789,"09/976,314",6978424,12140001,2011-05-26,103a
3790,"11/263,203",7388544,11946914,2011-02-09,103a
3791,"09/370,157",6423434,12028531,2011-04-04,102b
3792,"09/370,157",6423434,12028531,2011-04-04,103a
3793,"09/370,157",6423434,12028531,2011-04-04,103a
3794,"09/370,157",6423434,12028531,2011-09-30,103a
3795,"09/370,157",6423434,12028531,2011-09-30,103a
3796,"10/146,587",6671849,12028514,2011-05-16,103a
3797,"10/146,587",6671849,12397763,2012-04-26,103a
3798,"10/146,587",6671849,12741685,2012-07-31,112
3799,"10/146,587",6671849,12741685,2012-07-31,103a
3800,"08/954,455",5862452,11689771,2011-11-14,103a
3801,"08/954,455",5862452,11689771,2012-04-13,103a
3802,"09/086,153",6188904,11675318,2011-10-12,103a
3803,"10/509,309",7248645,12164770,2011-11-10,103a
3804,"10/509,309",7248645,12164770,2011-03-24,103a
3805,"09/069,591",6080690,12742260,2012-08-02,103a
3806,"10/999,653",7486044,12697708,2012-03-22,103a
3807,"11/769,405",7577441,12741723,2012-08-14,102e
3808,"11/769,405",7577441,12741723,2012-08-14,103a
3809,"11/769,405",7577441,12741723,2013-02-05,103a
3810,"11/769,405",7577441,12741723,2013-02-05,103a
3811,"10/660,174",6978165,12364819,2011-06-28,103a
3812,"08/855,173",5999826,10100452,2011-04-25,103
3813,"08/855,173",5999826,10944509,2011-03-03,103a
3814,"08/855,173",5999826,10944509,2011-08-08,103a
3815,"08/855,173",5999826,10100452,2012-06-13,103a
3816,"08/855,173",5999826,10100452,2012-10-25,103
3817,"11/172,313",7231213,12825725,2012-12-26,103a
3818,"11/172,313",7231213,12825725,2012-09-04,103a
3819,"10/959,359",7961828,11967907,2011-07-08,103a
3820,"10/959,359",7961828,11967907,2011-10-05,103a
3821,"08/954,770",6088337,11414269,2011-11-17,103a
3822,"08/954,770",6088337,11414269,2011-03-01,103a
3823,"08/954,770",6088337,13536185,2012-10-04,103a
3824,"08/954,770",6088337,12820228,2013-02-28,103a
3825,"08/954,770",6088337,12820228,2013-02-28,103a
3826,"08/954,770",6088337,12820228,2013-02-28,103a
3827,"10/744,781",7181170,12293287,2011-10-20,103a
3828,"10/744,781",7181170,12293287,2011-05-09,103a
3829,"10/744,781",7181170,12303297,2012-01-20,103a
3830,"10/744,781",7181170,12303297,2012-01-20,103a
3831,"10/744,781",7181170,12303297,2012-01-20,103a
3832,"10/744,781",7181170,12293287,2012-03-26,103a
3833,"09/012,514",6112100,12501298,2012-01-04,103a
3834,"11/616,099",7738530,12316529,2011-01-20,102e
3835,"11/616,099",7738530,12741786,2012-09-28,103a
3836,"11/616,099",7738530,12741786,2013-02-28,103
3837,"11/616,099",7738530,12741786,2013-02-28,103a
3838,"08/738,878",5987518,12036937,2011-03-23,103a
3839,"08/738,878",5987518,12036937,2011-03-23,103a
3840,"08/738,878",5987518,12036937,2011-03-23,103a
3841,"08/738,878",5987518,12036937,2011-07-29,103a
3842,"08/738,878",5987518,12036937,2011-07-29,103a
3843,"08/738,878",5987518,12036937,2011-07-29,103a
3844,"09/012,444",6104512,11998286,2011-01-27,103
3845,"09/818,428",6732321,13227906,2012-12-11,102b
3846,"09/120,206",6055413,12901503,2012-03-28,103a
3847,"09/094,261",6107920,12944099,2011-07-12,103a
3848,"09/094,261",6107920,12944099,2011-02-15,103a
3849,"09/094,261",6107920,11315213,2011-03-30,103a
3850,"09/094,261",6107920,11315213,2011-03-30,103a
3851,"09/094,261",6107920,12095147,2011-09-01,102b
3852,"09/094,261",6107920,12095147,2011-09-01,102b
3853,"09/094,261",6107920,12095147,2011-09-01,103a
3854,"09/094,261",6107920,12095147,2011-09-01,103a
3855,"09/094,261",6107920,12095147,2011-09-01,103a
3856,"09/094,261",6107920,10586738,2011-06-16,103a
3857,"09/094,261",6107920,10586738,2011-02-03,103a
3858,"09/094,261",6107920,12095147,2012-02-24,103a
3859,"09/094,261",6107920,12095147,2012-02-24,103a
3860,"09/094,261",6107920,12095147,2012-02-24,102b
3861,"09/094,261",6107920,12949667,2012-01-09,103a
3862,"09/094,261",6107920,12095147,2012-11-26,102b
3863,"09/094,261",6107920,12095147,2012-11-26,103a
3864,"09/094,261",6107920,12095147,2012-11-26,103a
3865,"09/094,261",6107920,12095147,2012-11-26,103a
